# Size time(us) gamma(per byte)
4 0.036000 0.0000000090000000 0
8 0.022000 0.0000000027500000 3000
16 0.029000 0.0000000018125000 18000
32 0.030000 0.0000000009375000 84000
64 0.057000 0.0000000008906250 360000
128 0.097000 0.0000000007578125 1488000
256 0.167000 0.0000000006523437 6048000
512 0.318000 0.0000000006210938 24403952
1024 0.629000 0.0000000006142578 98026032
2048 1.233000 0.0000000006020508 392692992
4096 2.421000 0.0000000005910645 1571834368
8192 4.839000 0.0000000005906982 6289406976
16384 9.649000 0.0000000005889282 25161793536
32768 19.295000 0.0000000005888367 100655226880
65536 38.559000 0.0000000005883636 388408049664
131072 91.606000 0.0000000006988983 1493192933376
262144 181.441000 0.0000000006921425 4398046511104
524288 343.517000 0.0000000006552067 8796093022208
1048576 699.420000 0.0000000006670189 17592186044416
2097152 1461.397000 0.0000000006968484 35184372088832
4194304 2886.245000 0.0000000006881344 70368744177664
8388608 5907.623000 0.0000000007042435 140737488355328
16777216 11440.246000 0.0000000006818918 281474976710656
33554432 23196.744000 0.0000000006913168 562949953421312
67108864 46309.779000 0.0000000006900695 1125899906842624
134217728 91915.794000 0.0000000006848260 2251799813685248
268435456 188115.482000 0.0000000007007848 4503599627370496
536870912 397888.540000 0.0000000007411252 9007199254740992
1073741824 803390.504000 0.0000000007482157 18014398509481984
