 Data for JOB [61753,1] offset 0 Total slots allocated 64

 ========================   JOB MAP   ========================

 Data for node: cmts6	Num slots: 64	Max slots: 0	Num procs: 1
 	Process OMPI jobid: [61753,1] App: 0 Process rank: 0 Bound: socket 0[core 0[hwt 0-1]]:[BB/../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../..]

 =============================================================
# Size time(us) gamma(per byte)
4 0.031000 0.0000000077500000 0
8 0.026000 0.0000000032500000 3000
16 0.031000 0.0000000019375000 18000
32 0.044000 0.0000000013750000 84000
64 0.052000 0.0000000008125000 360000
128 0.094000 0.0000000007343750 1488000
256 0.171000 0.0000000006679688 6048000
512 0.327000 0.0000000006386719 24403952
1024 0.625000 0.0000000006103516 98026032
2048 1.230000 0.0000000006005859 392692992
4096 2.434000 0.0000000005942383 1571834368
8192 4.852000 0.0000000005922852 6289406976
16384 9.657000 0.0000000005894165 25161793536
32768 19.295000 0.0000000005888367 100655226880
65536 38.532000 0.0000000005879517 388408049664
131072 77.049000 0.0000000005878372 1493192933376
262144 172.666000 0.0000000006586685 4398046511104
524288 377.147000 0.0000000007193508 8796093022208
1048576 721.274000 0.0000000006878605 17592186044416
2097152 1443.035000 0.0000000006880927 35184372088832
4194304 3069.002000 0.0000000007317071 70368744177664
8388608 5720.109000 0.0000000006818901 140737488355328
16777216 11449.130000 0.0000000006824213 281474976710656
33554432 22433.529000 0.0000000006685713 562949953421312
67108864 44400.540000 0.0000000006616196 1125899906842624
134217728 92431.169000 0.0000000006886659 2251799813685248
268435456 191573.441000 0.0000000007136667 4503599627370496
536870912 381430.236000 0.0000000007104692 9007199254740992
1073741824 766363.029000 0.0000000007137312 18014398509481984
