 Data for JOB [50377,1] offset 0 Total slots allocated 64

 ========================   JOB MAP   ========================

 Data for node: cmts2	Num slots: 64	Max slots: 0	Num procs: 1
 	Process OMPI jobid: [50377,1] App: 0 Process rank: 0 Bound: socket 0[core 0[hwt 0-1]]:[BB/../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../..]

 =============================================================
# Size time(us) gamma(per byte)
4 0.029000 0.0000000024166667 0
8 0.028000 0.0000000011666667 3000
16 0.027000 0.0000000005625000 18000
32 0.032000 0.0000000003333333 84000
64 0.058000 0.0000000003020833 360000
128 0.092000 0.0000000002395833 1488000
256 0.168000 0.0000000002187500 6048000
512 0.323000 0.0000000002102865 24403952
1024 0.628000 0.0000000002044271 98026032
2048 1.229000 0.0000000002000326 392692992
4096 2.426000 0.0000000001974284 1571834368
8192 4.831000 0.0000000001965739 6289406976
16384 9.643000 0.0000000001961873 25161793536
32768 19.278000 0.0000000001961060 100655226880
65536 38.532000 0.0000000001959839 388408049664
131072 92.078000 0.0000000002341665 1493192933376
262144 166.733000 0.0000000002120120 4398046511104
524288 397.205000 0.0000000002525361 8796093022208
1048576 761.726000 0.0000000002421462 17592186044416
2097152 1511.509000 0.0000000002402479 35184372088832
4194304 2980.456000 0.0000000002368654 70368744177664
8388608 6134.815000 0.0000000002437756 140737488355328
16777216 12003.670000 0.0000000002384915 281474976710656
33554432 23402.701000 0.0000000002324849 562949953421312
67108864 46891.640000 0.0000000002329133 1125899906842624
134217728 92978.511000 0.0000000002309146 2251799813685248
268435456 200068.912000 0.0000000002484383 4503599627370496
536870912 404285.128000 0.0000000002510132 9007199254740992
1073741824 813621.580000 0.0000000002525814 18014398509481984
